,,,Total Trips
Year3Hells Kitchen-Nolita,Hells Kitchen-Nolita,Year3,1967
Year1Hells Kitchen-Park Slope,Hells Kitchen-Park Slope,Year1,153
Year2Hells Kitchen-Park Slope,Hells Kitchen-Park Slope,Year2,51
Year3Hells Kitchen-Park Slope,Hells Kitchen-Park Slope,Year3,84
Year1Hells Kitchen-SoHo,Hells Kitchen-SoHo,Year1,8897
Year2Hells Kitchen-SoHo,Hells Kitchen-SoHo,Year2,7462
Year3Hells Kitchen-SoHo,Hells Kitchen-SoHo,Year3,11779
Year1Hells Kitchen-Stuyvesant Town,Hells Kitchen-Stuyvesant Town,Year1,2717
Year2Hells Kitchen-Stuyvesant Town,Hells Kitchen-Stuyvesant Town,Year2,2208
Year3Hells Kitchen-Stuyvesant Town,Hells Kitchen-Stuyvesant Town,Year3,3181
Year3Hells Kitchen-Sunset Park,Hells Kitchen-Sunset Park,Year3,13
Year1Hells Kitchen-Theater District,Hells Kitchen-Theater District,Year1,25861
Year2Hells Kitchen-Theater District,Hells Kitchen-Theater District,Year2,24850
Year3Hells Kitchen-Theater District,Hells Kitchen-Theater District,Year3,34318
Year1Hells Kitchen-Tribeca,Hells Kitchen-Tribeca,Year1,14682
Year2Hells Kitchen-Tribeca,Hells Kitchen-Tribeca,Year2,10933
Year3Hells Kitchen-Tribeca,Hells Kitchen-Tribeca,Year3,14184
Year1Hells Kitchen-Two Bridges,Hells Kitchen-Two Bridges,Year1,288
Year2Hells Kitchen-Two Bridges,Hells Kitchen-Two Bridges,Year2,152
Year3Hells Kitchen-Two Bridges,Hells Kitchen-Two Bridges,Year3,169
Year1Hells Kitchen-Upper East Side,Hells Kitchen-Upper East Side,Year1,673
Year2Hells Kitchen-Upper East Side,Hells Kitchen-Upper East Side,Year2,631
Year3Hells Kitchen-Upper East Side,Hells Kitchen-Upper East Side,Year3,13572
Year1Hells Kitchen-Upper West Side,Hells Kitchen-Upper West Side,Year1,16518
Year2Hells Kitchen-Upper West Side,Hells Kitchen-Upper West Side,Year2,19987
Year3Hells Kitchen-Upper West Side,Hells Kitchen-Upper West Side,Year3,50071
Year1Hells Kitchen-Vinegar Hill,Hells Kitchen-Vinegar Hill,Year1,80
Year2Hells Kitchen-Vinegar Hill,Hells Kitchen-Vinegar Hill,Year2,53
Year3Hells Kitchen-Vinegar Hill,Hells Kitchen-Vinegar Hill,Year3,84
Year1Hells Kitchen-West Village,Hells Kitchen-West Village,Year1,29539
Year2Hells Kitchen-West Village,Hells Kitchen-West Village,Year2,29452
Year3Hells Kitchen-West Village,Hells Kitchen-West Village,Year3,39206
Year1Hells Kitchen-Williamsburg,Hells Kitchen-Williamsburg,Year1,567
Year2Hells Kitchen-Williamsburg,Hells Kitchen-Williamsburg,Year2,460
Year3Hells Kitchen-Williamsburg,Hells Kitchen-Williamsburg,Year3,534
Year1Kips Bay-Battery Park City,Kips Bay-Battery Park City,Year1,1301
Year2Kips Bay-Battery Park City,Kips Bay-Battery Park City,Year2,1647
Year3Kips Bay-Battery Park City,Kips Bay-Battery Park City,Year3,1666
Year1Kips Bay-Bedford-Stuyvesant,Kips Bay-Bedford-Stuyvesant,Year1,114
Year2Kips Bay-Bedford-Stuyvesant,Kips Bay-Bedford-Stuyvesant,Year2,80
Year3Kips Bay-Bedford-Stuyvesant,Kips Bay-Bedford-Stuyvesant,Year3,126
Year1Kips Bay-Boerum Hill,Kips Bay-Boerum Hill,Year1,334
Year2Kips Bay-Boerum Hill,Kips Bay-Boerum Hill,Year2,331
Year3Kips Bay-Boerum Hill,Kips Bay-Boerum Hill,Year3,401
Year1Kips Bay-Brooklyn Heights,Kips Bay-Brooklyn Heights,Year1,484
Year2Kips Bay-Brooklyn Heights,Kips Bay-Brooklyn Heights,Year2,402
Year3Kips Bay-Brooklyn Heights,Kips Bay-Brooklyn Heights,Year3,564
Year1Kips Bay-Central Park,Kips Bay-Central Park,Year1,712
Year2Kips Bay-Central Park,Kips Bay-Central Park,Year2,585
Year3Kips Bay-Central Park,Kips Bay-Central Park,Year3,1414
Year1Kips Bay-Chelsea,Kips Bay-Chelsea,Year1,44327
Year2Kips Bay-Chelsea,Kips Bay-Chelsea,Year2,43834
Year3Kips Bay-Chelsea,Kips Bay-Chelsea,Year3,51800
Year1Kips Bay-Chinatown,Kips Bay-Chinatown,Year1,3408
Year2Kips Bay-Chinatown,Kips Bay-Chinatown,Year2,3486
Year3Kips Bay-Chinatown,Kips Bay-Chinatown,Year3,4225
Year1Kips Bay-Civic Center,Kips Bay-Civic Center,Year1,952
Year2Kips Bay-Civic Center,Kips Bay-Civic Center,Year2,917
Year3Kips Bay-Civic Center,Kips Bay-Civic Center,Year3,1185
Year1Kips Bay-Clinton Hill,Kips Bay-Clinton Hill,Year1,201
Year2Kips Bay-Clinton Hill,Kips Bay-Clinton Hill,Year2,113
Year3Kips Bay-Clinton Hill,Kips Bay-Clinton Hill,Year3,337
Year1Kips Bay-Columbia St,Kips Bay-Columbia St,Year1,32
Year2Kips Bay-Columbia St,Kips Bay-Columbia St,Year2,36
Year3Kips Bay-Columbia St,Kips Bay-Columbia St,Year3,47
Year1Kips Bay-DUMBO,Kips Bay-DUMBO,Year1,218
Year2Kips Bay-DUMBO,Kips Bay-DUMBO,Year2,145
Year3Kips Bay-DUMBO,Kips Bay-DUMBO,Year3,162
Year1Kips Bay-Downtown Brooklyn,Kips Bay-Downtown Brooklyn,Year1,1007
Year2Kips Bay-Downtown Brooklyn,Kips Bay-Downtown Brooklyn,Year2,344
Year3Kips Bay-Downtown Brooklyn,Kips Bay-Downtown Brooklyn,Year3,498
Year1Kips Bay-East Village,Kips Bay-East Village,Year1,34594
Year2Kips Bay-East Village,Kips Bay-East Village,Year2,33173
Year3Kips Bay-East Village,Kips Bay-East Village,Year3,39902
Year1Kips Bay-Financial District,Kips Bay-Financial District,Year1,5540
Year2Kips Bay-Financial District,Kips Bay-Financial District,Year2,4932
Year3Kips Bay-Financial District,Kips Bay-Financial District,Year3,5853
Year1Kips Bay-Flatiron District,Kips Bay-Flatiron District,Year1,9224
Year2Kips Bay-Flatiron District,Kips Bay-Flatiron District,Year2,10157
Year3Kips Bay-Flatiron District,Kips Bay-Flatiron District,Year3,12725
Year1Kips Bay-Fort Greene,Kips Bay-Fort Greene,Year1,1371
Year2Kips Bay-Fort Greene,Kips Bay-Fort Greene,Year2,494
Year3Kips Bay-Fort Greene,Kips Bay-Fort Greene,Year3,459
Year3Kips Bay-Governors Island,Kips Bay-Governors Island,Year3,4
Year1Kips Bay-Gramercy,Kips Bay-Gramercy,Year1,17107
Year2Kips Bay-Gramercy,Kips Bay-Gramercy,Year2,17601
Year3Kips Bay-Gramercy,Kips Bay-Gramercy,Year3,21993
Year3Kips Bay-Greenpoint,Kips Bay-Greenpoint,Year3,156
Year1Kips Bay-Greenwich Village,Kips Bay-Greenwich Village,Year1,12387
Year2Kips Bay-Greenwich Village,Kips Bay-Greenwich Village,Year2,11874
Year3Kips Bay-Greenwich Village,Kips Bay-Greenwich Village,Year3,14398
Year1Kips Bay-Hells Kitchen,Kips Bay-Hells Kitchen,Year1,8704
Year2Kips Bay-Hells Kitchen,Kips Bay-Hells Kitchen,Year2,6506
Year3Kips Bay-Hells Kitchen,Kips Bay-Hells Kitchen,Year3,8043
Year1Kips Bay-Kips Bay,Kips Bay-Kips Bay,Year1,28138
Year2Kips Bay-Kips Bay,Kips Bay-Kips Bay,Year2,23639
Year3Kips Bay-Kips Bay,Kips Bay-Kips Bay,Year3,26989
Year3Kips Bay-Long Island City,Kips Bay-Long Island City,Year3,510
Year1Kips Bay-Lower East Side,Kips Bay-Lower East Side,Year1,11796
Year2Kips Bay-Lower East Side,Kips Bay-Lower East Side,Year2,11006
Year3Kips Bay-Lower East Side,Kips Bay-Lower East Side,Year3,12956
Year1Kips Bay-Midtown,Kips Bay-Midtown,Year1,63310
Year2Kips Bay-Midtown,Kips Bay-Midtown,Year2,55202
Year3Kips Bay-Midtown,Kips Bay-Midtown,Year3,66771
Year1Kips Bay-Murray Hill,Kips Bay-Murray Hill,Year1,16856
Year2Kips Bay-Murray Hill,Kips Bay-Murray Hill,Year2,15750
Year3Kips Bay-Murray Hill,Kips Bay-Murray Hill,Year3,21257
Year1Kips Bay-Navy Yard,Kips Bay-Navy Yard,Year1,18
Year2Kips Bay-Navy Yard,Kips Bay-Navy Yard,Year2,15
Year3Kips Bay-Navy Yard,Kips Bay-Navy Yard,Year3,10
Year1Kips Bay-NoHo,Kips Bay-NoHo,Year1,1164
Year2Kips Bay-NoHo,Kips Bay-NoHo,Year2,1077
Year3Kips Bay-NoHo,Kips Bay-NoHo,Year3,1725
Year1Kips Bay-Nolita,Kips Bay-Nolita,Year1,2423
Year2Kips Bay-Nolita,Kips Bay-Nolita,Year2,2991
Year3Kips Bay-Nolita,Kips Bay-Nolita,Year3,3095
Year1Kips Bay-Park Slope,Kips Bay-Park Slope,Year1,108
Year2Kips Bay-Park Slope,Kips Bay-Park Slope,Year2,127
Year3Kips Bay-Park Slope,Kips Bay-Park Slope,Year3,123
Year1Kips Bay-SoHo,Kips Bay-SoHo,Year1,3914
Year2Kips Bay-SoHo,Kips Bay-SoHo,Year2,3718
Year3Kips Bay-SoHo,Kips Bay-SoHo,Year3,5063
Year1Kips Bay-Stuyvesant Town,Kips Bay-Stuyvesant Town,Year1,12698
Year2Kips Bay-Stuyvesant Town,Kips Bay-Stuyvesant Town,Year2,13190
Year3Kips Bay-Stuyvesant Town,Kips Bay-Stuyvesant Town,Year3,18099
Year2Kips Bay-Sunset Park,Kips Bay-Sunset Park,Year2,1
Year3Kips Bay-Sunset Park,Kips Bay-Sunset Park,Year3,2
Year1Kips Bay-Theater District,Kips Bay-Theater District,Year1,7462
Year2Kips Bay-Theater District,Kips Bay-Theater District,Year2,8168
Year3Kips Bay-Theater District,Kips Bay-Theater District,Year3,9847
Year1Kips Bay-Tribeca,Kips Bay-Tribeca,Year1,3070
Year2Kips Bay-Tribeca,Kips Bay-Tribeca,Year2,2120
Year3Kips Bay-Tribeca,Kips Bay-Tribeca,Year3,2861
Year1Kips Bay-Two Bridges,Kips Bay-Two Bridges,Year1,801
Year2Kips Bay-Two Bridges,Kips Bay-Two Bridges,Year2,594
Year3Kips Bay-Two Bridges,Kips Bay-Two Bridges,Year3,729
Year1Kips Bay-Upper East Side,Kips Bay-Upper East Side,Year1,1535
Year2Kips Bay-Upper East Side,Kips Bay-Upper East Side,Year2,1184
Year3Kips Bay-Upper East Side,Kips Bay-Upper East Side,Year3,8761
Year1Kips Bay-Upper West Side,Kips Bay-Upper West Side,Year1,1959
Year2Kips Bay-Upper West Side,Kips Bay-Upper West Side,Year2,1514
Year3Kips Bay-Upper West Side,Kips Bay-Upper West Side,Year3,2277
Year1Kips Bay-Vinegar Hill,Kips Bay-Vinegar Hill,Year1,149
Year2Kips Bay-Vinegar Hill,Kips Bay-Vinegar Hill,Year2,89
Year3Kips Bay-Vinegar Hill,Kips Bay-Vinegar Hill,Year3,179
Year1Kips Bay-West Village,Kips Bay-West Village,Year1,7009
Year2Kips Bay-West Village,Kips Bay-West Village,Year2,6383
Year3Kips Bay-West Village,Kips Bay-West Village,Year3,7343
Year1Kips Bay-Williamsburg,Kips Bay-Williamsburg,Year1,1108
Year2Kips Bay-Williamsburg,Kips Bay-Williamsburg,Year2,861
Year3Kips Bay-Williamsburg,Kips Bay-Williamsburg,Year3,1598
Year3Long Island City-Battery Park City,Long Island City-Battery Park City,Year3,24
Year3Long Island City-Bedford-Stuyvesant,Long Island City-Bedford-Stuyvesant,Year3,397
Year3Long Island City-Boerum Hill,Long Island City-Boerum Hill,Year3,56
Year3Long Island City-Brooklyn Heights,Long Island City-Brooklyn Heights,Year3,69
Year3Long Island City-Central Park,Long Island City-Central Park,Year3,591
Year3Long Island City-Chelsea,Long Island City-Chelsea,Year3,435
Year3Long Island City-Chinatown,Long Island City-Chinatown,Year3,67
Year3Long Island City-Civic Center,Long Island City-Civic Center,Year3,43
Year3Long Island City-Clinton Hill,Long Island City-Clinton Hill,Year3,271
Year3Long Island City-Columbia St,Long Island City-Columbia St,Year3,8
Year3Long Island City-DUMBO,Long Island City-DUMBO,Year3,54
Year3Long Island City-Downtown Brooklyn,Long Island City-Downtown Brooklyn,Year3,109
Year3Long Island City-East Village,Long Island City-East Village,Year3,638
Year3Long Island City-Financial District,Long Island City-Financial District,Year3,177
Year3Long Island City-Flatiron District,Long Island City-Flatiron District,Year3,243
Year3Long Island City-Fort Greene,Long Island City-Fort Greene,Year3,245
Year3Long Island City-Gramercy,Long Island City-Gramercy,Year3,158
Year3Long Island City-Greenpoint,Long Island City-Greenpoint,Year3,10738
Year3Long Island City-Greenwich Village,Long Island City-Greenwich Village,Year3,149
Year3Long Island City-Hells Kitchen,Long Island City-Hells Kitchen,Year3,610
Year3Long Island City-Kips Bay,Long Island City-Kips Bay,Year3,389
Year3Long Island City-Long Island City,Long Island City-Long Island City,Year3,38428
Year3Long Island City-Lower East Side,Long Island City-Lower East Side,Year3,350
Year3Long Island City-Midtown,Long Island City-Midtown,Year3,4826
Year3Long Island City-Murray Hill,Long Island City-Murray Hill,Year3,427
Year3Long Island City-Navy Yard,Long Island City-Navy Yard,Year3,81
Year3Long Island City-NoHo,Long Island City-NoHo,Year3,74
Year3Long Island City-Nolita,Long Island City-Nolita,Year3,47
Year3Long Island City-Park Slope,Long Island City-Park Slope,Year3,32
Year3Long Island City-SoHo,Long Island City-SoHo,Year3,99
Year3Long Island City-Stuyvesant Town,Long Island City-Stuyvesant Town,Year3,79
Year3Long Island City-Theater District,Long Island City-Theater District,Year3,257
Year3Long Island City-Tribeca,Long Island City-Tribeca,Year3,43
Year3Long Island City-Two Bridges,Long Island City-Two Bridges,Year3,10
Year3Long Island City-Upper East Side,Long Island City-Upper East Side,Year3,4143
Year3Long Island City-Upper West Side,Long Island City-Upper West Side,Year3,516
Year3Long Island City-Vinegar Hill,Long Island City-Vinegar Hill,Year3,55
Year3Long Island City-West Village,Long Island City-West Village,Year3,85
Year3Long Island City-Williamsburg,Long Island City-Williamsburg,Year3,5056
Year1Lower East Side-Battery Park City,Lower East Side-Battery Park City,Year1,3503
Year2Lower East Side-Battery Park City,Lower East Side-Battery Park City,Year2,3355
Year3Lower East Side-Battery Park City,Lower East Side-Battery Park City,Year3,5434
Year1Lower East Side-Bedford-Stuyvesant,Lower East Side-Bedford-Stuyvesant,Year1,868
Year2Lower East Side-Bedford-Stuyvesant,Lower East Side-Bedford-Stuyvesant,Year2,745
Year3Lower East Side-Bedford-Stuyvesant,Lower East Side-Bedford-Stuyvesant,Year3,1542
Year1Lower East Side-Boerum Hill,Lower East Side-Boerum Hill,Year1,763
Year2Lower East Side-Boerum Hill,Lower East Side-Boerum Hill,Year2,769
Year3Lower East Side-Boerum Hill,Lower East Side-Boerum Hill,Year3,801
Year1Lower East Side-Brooklyn Heights,Lower East Side-Brooklyn Heights,Year1,1197
Year2Lower East Side-Brooklyn Heights,Lower East Side-Brooklyn Heights,Year2,1043
Year3Lower East Side-Brooklyn Heights,Lower East Side-Brooklyn Heights,Year3,1218
Year1Lower East Side-Central Park,Lower East Side-Central Park,Year1,179
Year2Lower East Side-Central Park,Lower East Side-Central Park,Year2,136
Year3Lower East Side-Central Park,Lower East Side-Central Park,Year3,542
Year1Lower East Side-Chelsea,Lower East Side-Chelsea,Year1,16185
Year2Lower East Side-Chelsea,Lower East Side-Chelsea,Year2,12418
Year3Lower East Side-Chelsea,Lower East Side-Chelsea,Year3,17076
Year1Lower East Side-Chinatown,Lower East Side-Chinatown,Year1,27990
Year2Lower East Side-Chinatown,Lower East Side-Chinatown,Year2,27980
Year3Lower East Side-Chinatown,Lower East Side-Chinatown,Year3,35579
Year1Lower East Side-Civic Center,Lower East Side-Civic Center,Year1,6636
Year2Lower East Side-Civic Center,Lower East Side-Civic Center,Year2,6706
Year3Lower East Side-Civic Center,Lower East Side-Civic Center,Year3,7819
Year1Lower East Side-Clinton Hill,Lower East Side-Clinton Hill,Year1,836
Year2Lower East Side-Clinton Hill,Lower East Side-Clinton Hill,Year2,824
Year3Lower East Side-Clinton Hill,Lower East Side-Clinton Hill,Year3,1044
Year1Lower East Side-Columbia St,Lower East Side-Columbia St,Year1,119
Year2Lower East Side-Columbia St,Lower East Side-Columbia St,Year2,167
Year3Lower East Side-Columbia St,Lower East Side-Columbia St,Year3,181
Year1Lower East Side-DUMBO,Lower East Side-DUMBO,Year1,869
Year2Lower East Side-DUMBO,Lower East Side-DUMBO,Year2,753
Year3Lower East Side-DUMBO,Lower East Side-DUMBO,Year3,955
Year1Lower East Side-Downtown Brooklyn,Lower East Side-Downtown Brooklyn,Year1,4170
Year2Lower East Side-Downtown Brooklyn,Lower East Side-Downtown Brooklyn,Year2,1634
Year3Lower East Side-Downtown Brooklyn,Lower East Side-Downtown Brooklyn,Year3,2034
Year1Lower East Side-East Village,Lower East Side-East Village,Year1,50027
Year2Lower East Side-East Village,Lower East Side-East Village,Year2,51190
Year3Lower East Side-East Village,Lower East Side-East Village,Year3,64472
Year1Lower East Side-Financial District,Lower East Side-Financial District,Year1,25931
Year2Lower East Side-Financial District,Lower East Side-Financial District,Year2,27429
Year3Lower East Side-Financial District,Lower East Side-Financial District,Year3,34501
Year1Lower East Side-Flatiron District,Lower East Side-Flatiron District,Year1,3831
Year2Lower East Side-Flatiron District,Lower East Side-Flatiron District,Year2,4511
Year3Lower East Side-Flatiron District,Lower East Side-Flatiron District,Year3,5077
Year1Lower East Side-Fort Greene,Lower East Side-Fort Greene,Year1,1961
Year2Lower East Side-Fort Greene,Lower East Side-Fort Greene,Year2,1443
Year3Lower East Side-Fort Greene,Lower East Side-Fort Greene,Year3,1666
Year3Lower East Side-Governors Island,Lower East Side-Governors Island,Year3,15
Year1Lower East Side-Gramercy,Lower East Side-Gramercy,Year1,8701
Year2Lower East Side-Gramercy,Lower East Side-Gramercy,Year2,9597
Year3Lower East Side-Gramercy,Lower East Side-Gramercy,Year3,12027
Year3Lower East Side-Greenpoint,Lower East Side-Greenpoint,Year3,2327
Year1Lower East Side-Greenwich Village,Lower East Side-Greenwich Village,Year1,17272
Year2Lower East Side-Greenwich Village,Lower East Side-Greenwich Village,Year2,15115
Year3Lower East Side-Greenwich Village,Lower East Side-Greenwich Village,Year3,17133
Year1Lower East Side-Hells Kitchen,Lower East Side-Hells Kitchen,Year1,4301
Year2Lower East Side-Hells Kitchen,Lower East Side-Hells Kitchen,Year2,2153
Year3Lower East Side-Hells Kitchen,Lower East Side-Hells Kitchen,Year3,3197
Year1Lower East Side-Kips Bay,Lower East Side-Kips Bay,Year1,10263
Year2Lower East Side-Kips Bay,Lower East Side-Kips Bay,Year2,9564
Year3Lower East Side-Kips Bay,Lower East Side-Kips Bay,Year3,11647
Year3Lower East Side-Long Island City,Lower East Side-Long Island City,Year3,339
Year1Lower East Side-Lower East Side,Lower East Side-Lower East Side,Year1,86189
Year2Lower East Side-Lower East Side,Lower East Side-Lower East Side,Year2,81249
Year3Lower East Side-Lower East Side,Lower East Side-Lower East Side,Year3,100213
Year1Lower East Side-Midtown,Lower East Side-Midtown,Year1,15405
Year2Lower East Side-Midtown,Lower East Side-Midtown,Year2,14513
Year3Lower East Side-Midtown,Lower East Side-Midtown,Year3,18536
Year1Lower East Side-Murray Hill,Lower East Side-Murray Hill,Year1,5016
Year2Lower East Side-Murray Hill,Lower East Side-Murray Hill,Year2,4657
Year3Lower East Side-Murray Hill,Lower East Side-Murray Hill,Year3,7461
Year1Lower East Side-Navy Yard,Lower East Side-Navy Yard,Year1,217
Year2Lower East Side-Navy Yard,Lower East Side-Navy Yard,Year2,110
Year3Lower East Side-Navy Yard,Lower East Side-Navy Yard,Year3,209
Year1Lower East Side-NoHo,Lower East Side-NoHo,Year1,3608
Year2Lower East Side-NoHo,Lower East Side-NoHo,Year2,3007
Year3Lower East Side-NoHo,Lower East Side-NoHo,Year3,4395
Year1Lower East Side-Nolita,Lower East Side-Nolita,Year1,13169
Year2Lower East Side-Nolita,Lower East Side-Nolita,Year2,16772
Year3Lower East Side-Nolita,Lower East Side-Nolita,Year3,16196
Year1Lower East Side-Park Slope,Lower East Side-Park Slope,Year1,362
Year2Lower East Side-Park Slope,Lower East Side-Park Slope,Year2,363
Year3Lower East Side-Park Slope,Lower East Side-Park Slope,Year3,530
Year1Lower East Side-SoHo,Lower East Side-SoHo,Year1,18247
Year2Lower East Side-SoHo,Lower East Side-SoHo,Year2,17327
Year3Lower East Side-SoHo,Lower East Side-SoHo,Year3,24811
Year1Lower East Side-Stuyvesant Town,Lower East Side-Stuyvesant Town,Year1,7938
Year2Lower East Side-Stuyvesant Town,Lower East Side-Stuyvesant Town,Year2,8092
Year3Lower East Side-Stuyvesant Town,Lower East Side-Stuyvesant Town,Year3,11080
Year3Lower East Side-Sunset Park,Lower East Side-Sunset Park,Year3,8
Year1Lower East Side-Theater District,Lower East Side-Theater District,Year1,1655
Year2Lower East Side-Theater District,Lower East Side-Theater District,Year2,1220
Year3Lower East Side-Theater District,Lower East Side-Theater District,Year3,1528
Year1Lower East Side-Tribeca,Lower East Side-Tribeca,Year1,11810
Year2Lower East Side-Tribeca,Lower East Side-Tribeca,Year2,11559
Year3Lower East Side-Tribeca,Lower East Side-Tribeca,Year3,16630
Year1Lower East Side-Two Bridges,Lower East Side-Two Bridges,Year1,5450
Year2Lower East Side-Two Bridges,Lower East Side-Two Bridges,Year2,5323
