FY,trip_string,total_trips
Year2,Nolita-Pelham Bay,52
Year2,Port Morris-Mount Hope,27
Year0,Kew Gardens Hills-Bedford-Stuyvesant,4
Year0,Jamaica-Kew Gardens Hills,37
Year0,Jamaica-Woodhaven,37
Year2,Cambria Heights-Williamsburg,5
Year3,Soundview-Financial District,2
Year2,Chinatown-Jamaica Estates,45
Year3,Cobble Hill-Dyker Heights,36
Year0,Unionport-St. Albans,1
Year1,Arrochar-Bull's Head,2
Year0,Flushing Meadows Corona Park-Civic Center,29
Year3,East Harlem-St. Albans,41
Year0,Fort Hamilton-NoHo,5
Year2,Kensington-Brooklyn Heights,105
Year2,Springfield Gardens-Greenpoint,2
Year2,Downtown Brooklyn-South Ozone Park,72
Year1,Fort Hamilton-Bedford-Stuyvesant,30
Year0,Forest Park-Flatiron District,2
Year1,Unionport-Upper East Side,61
Year3,Morningside Heights-Jamaica Estates,19
Year1,Battery Park City-Castleton Corners,26
Year2,Bay Ridge-LaGuardia Airport,30
Year0,Greenwich Village-University Heights,128
Year0,Corona-South Ozone Park,16
Year1,Hollis Hills-Cunningham Park,2
Year0,Boerum Hill-Canarsie,111
Year0,Columbia St-Elmhurst,22
Year1,Morningside Heights-Prospect Park,42
Year3,Inwood-Downtown Brooklyn,15
Year0,Fort Greene-Fieldston,11
Year3,Bensonhurst-John F. Kennedy International Airport,14
Year2,Flatiron District-Green-Wood Cemetery,17
Year1,Ditmars Steinway-Nolita,66
Year2,Ditmars Steinway-Windsor Terrace,23
Year1,Morris Heights-University Heights,42
Year3,Brooklyn Heights-St. Albans,5
Year1,Downtown Brooklyn-Holliswood,9
Year0,Fresh Meadows-Jamaica Hills,9
Year0,Astoria-Cunningham Park,7
Year0,Brooklyn Heights-Belle Harbor,3
Year3,East Elmhurst-Kew Gardens Hills,129
Year1,Arrochar-Fort Hamilton,1
Year1,LaGuardia Airport-Tompkinsville,32
Year1,Flushing Meadows Corona Park-Brooklyn Heights,36
Year1,Briarwood-Morris Park,1
Year2,Mott Haven-East New York,7
Year0,Alley Pond Park-Cambria Heights,3
Year3,East Elmhurst-North Riverdale,9
Year1,Cobble Hill-Morris Heights,4
Year3,Mount Eden-Hunts Point,6
Year2,Civic Center-Westchester Square,11
Year2,Jamaica-Bayside,35
Year3,Clason Point-Morris Park,5
Year1,East New York-Upper East Side,46
Year0,Cypress Hills-Brooklyn Heights,6
Year1,Maspeth-Clinton Hill,41
Year0,Belmont-Astoria,6
Year1,Belmont-Kingsbridge,20
Year3,East Elmhurst-Howard Beach,29
Year0,Fort Greene-Bath Beach,51
Year1,West Village-Belle Harbor,41
Year3,Bay Ridge-Rego Park,7
Year2,Westchester Square-Claremont Village,6
Year2,Brooklyn Heights-Schuylerville,1
Year0,North Riverdale-Riverdale,20
Year2,Tremont-Mount Eden,11
Year2,Highbridge-East Village,20
Year1,Upper East Side-Cunningham Park,33
Year3,East Elmhurst-Pelham Gardens,12
Year1,Little Italy-Grymes Hill,4
Year0,LaGuardia Airport-Prince's Bay,14
Year1,Alley Pond Park-East Village,1
Year2,Sunset Park-Mariners Harbor,2
Year1,Upper West Side-Bull's Head,42
Year0,East Elmhurst-Pelham Gardens,21
Year3,Bushwick-Concourse,5
Year3,West Village-New Dorp,30
Year2,South Slope-Kingsbridge,4
Year2,Floral Park-Jamaica,4
Year0,Rego Park-Holliswood,18
Year2,Chelsea-Neponsit,21
Year1,Upper East Side-Charleston,2
Year1,Murray Hill-St. George,26
Year3,University Heights-Williamsbridge,5
Year3,Bushwick-Mariners Harbor,1
Year2,East Flatbush-Rego Park,6
Year2,Fordham-Theater District,10
Year0,Concourse Village-Tremont,12
Year1,Park Slope-Great Kills,1
Year0,Tribeca-Far Rockaway,29
Year0,Eastchester-Bayside,1
Year1,Rosedale-Maspeth,2
Year3,Fordham-Hell's Kitchen,19
Year3,Randall's Island-Park Slope,5
Year2,Greenwich Village-Rockaway Park,28
Year1,Gowanus-Jamaica Estates,2
Year1,Flushing-Westchester Square,5
Year1,Downtown Brooklyn-Hollis Hills,1
Year0,Broad Channel-Far Rockaway,2
Year0,Astoria-Laurelton,10
Year1,Park Slope-Claremont Village,5
Year1,Mount Eden-Crotona Park,4
Year3,Greenwich Village-Dongan Hills,10
Year2,Glendale-Bayside,4
Year0,Greenwich Village-Sea Gate,12
Year3,Forest Hills-Hunts Point,4
Year0,Glen Oaks-Carroll Gardens,1
Year0,Westchester Square-Morris Heights,4
Year0,Theater District-Clifton,18
Year3,Howard Beach-Williamsburg,6
Year2,Greenwich Village-Lighthouse Hill,2
Year1,Floral Park-Brooklyn Heights,1
Year0,West Farms-Wakefield,9
Year2,Kensington-Navy Yard,7
Year1,Forest Park-Jamaica Estates,2
Year2,Claremont Village-Olinville,5
Year3,Concourse Village-Pelham Gardens,1
Year1,Corona-St. Albans,9
Year2,Jamaica Hills-Harlem,6
Year0,Sunset Park-Jamaica,13
Year1,Clinton Hill-Springfield Gardens,13
Year3,Cobble Hill-Flatlands,18
Year1,Shore Acres-Brooklyn Heights,1
Year3,Civic Center-Alley Pond Park,2
Year2,Gravesend-Flatbush,21
Year0,Woodside-New Springville,1
Year2,Prospect Park-Richmond Hill,3
Year0,Springfield Gardens-Schuylerville,1
Year3,Borough Park-Morningside Heights,1
Year2,New Dorp-Downtown Brooklyn,3
Year3,Park Slope-Floral Park,1
Year2,Howard Beach-Rego Park,5
Year3,Pelham Gardens-Edenwald,2
Year0,Alley Pond Park-Theater District,1
Year0,Kew Gardens Hills-Ditmars Steinway,16
Year3,Greenwich Village-Far Rockaway,10
Year2,Kew Gardens-Greenwich Village,7
Year0,Fresh Meadows-Theater District,6
Year2,Glendale-Fresh Meadows,1
Year2,Kips Bay-Richmondtown,5
Year1,Concourse-Bay Ridge,4
Year1,Borough Park-Rockaway Park,1
Year2,Maspeth-Port Morris,5
Year2,Unionport-Central Park,4
Year3,DUMBO-Unionport,2
Year0,Kingsbridge-Schuylerville,3
Year1,Bellerose-Bronx Park,2
Year2,Bronx Park-Morris Heights,2
Year3,Cobble Hill-Jamaica Estates,2
Year0,Fort Hamilton-Prospect-Lefferts Gardens,5
Year1,South Beach-West Brighton,2
Year3,Battery Park City-Breezy Point,7
Year3,Canarsie-Inwood,1
Year0,NoHo-Rockaway Beach,3
Year2,Carroll Gardens-Bronx Park,2
Year3,Bay Ridge-Sunnyside,7
Year1,Little Italy-Bronxdale,9
Year3,Flushing-Canarsie,5
Year2,Carroll Gardens-Longwood,6
Year0,Port Morris-Tribeca,11
Year2,Bergen Beach-Murray Hill,1
Year2,Forest Park-Downtown Brooklyn,1
Year1,Riverdale-Tribeca,7
Year2,Civic Center-Marine Park,24
Year1,East Morrisania-Greenwich Village,2
Year2,Mill Basin-Flatbush,11
Year3,Port Morris-Boerum Hill,2
Year0,Kew Gardens Hills-Gowanus,1
Year2,Borough Park-Bergen Beach,2
Year1,Fort Hamilton-Fort Wadsworth,1
Year2,DUMBO-Williamsbridge,1
Year0,Soundview-Mount Eden,3
Year1,Coney Island-Clinton Hill,1
Year0,Unionport-Two Bridges,1
Year3,Gravesend-Rossville,1
Year1,Bronxdale-Williamsburg,1
Year1,Midwood-Plum Beach,1
Year3,Jamaica Estates-Stuyvesant Town,2
Year3,Morris Heights-Maspeth,2
Year2,Upper West Side-Great Kills,6
Year1,East Morrisania-Kips Bay,1
Year0,Brooklyn Heights-Emerson Hill,3
Year0,Midland Beach-St. George,1
Year1,Morris Park-Flushing,3
Year3,"Upper West Side-Chelsea, Staten Island",5
Year0,Flatbush-Concourse,3
Year3,Sheepshead Bay-Jackson Heights,4
Year1,Co-op City-Murray Hill,1
Year0,Bloomfield-Freshkills Park,1
Year2,Canarsie-Park Slope,4
Year1,West Farms-Ditmars Steinway,1
Year0,Unionport-Crotona Park,1
Year0,Park Hill-Tribeca,1
Year2,Stuyvesant Town-Belle Harbor,5
Year2,Morris Heights-Eastchester,4
Year0,Fort Greene-Rockaway Park,4
Year1,St. Albans-University Heights,1
Year1,Broad Channel-Greenwich Village,2
Year0,Brownsville-Boerum Hill,5
Year0,East New York-DUMBO,3
Year0,Roosevelt Island-Fresh Meadows,1
Year1,Glendale-Lower East Side,4
Year1,NoHo-Arden Heights,2
Year2,Ozone Park-Soundview,1
Year3,Sunset Park-Jamaica Hills,1
Year3,Downtown Brooklyn-Huguenot,2
Year1,Rego Park-Bayswater,1
Year2,Kew Gardens Hills-East Harlem,5
Year0,Canarsie-Upper West Side,10
Year1,Howard Beach-Rockaway Beach,4
Year2,Highbridge-Elmhurst,2
Year2,Flushing Meadows Corona Park-Spuyten Duyvil,1
Year1,South Slope-Oakwood,1
Year0,Port Morris-Alley Pond Park,1
Year1,Jamaica Estates-Flushing Meadows Corona Park,4
Year3,Jamaica Hills-Financial District,1
Year0,Harlem-Arrochar,2
Year0,Ridgewood-Shore Acres,1
Year1,Randall's Island-Roosevelt Island,6
Year1,Flushing Meadows Corona Park-Unionport,2
Year0,Ridgewood-Claremont Village,2
Year1,Concourse-Ridgewood,2
Year3,Forest Hills-Tremont,1
Year3,College Point-University Heights,1
Year0,Ozone Park-Bath Beach,1
Year1,Cobble Hill-Port Morris,3
Year0,Gerritsen Beach-Nolita,1
Year3,Little Italy-Fieldston,5
Year2,East Flatbush-Columbia St,2
Year2,East New York-Jamaica Estates,2
Year2,Briarwood-Little Italy,5
Year2,Mount Eden-Westchester Square,2
Year3,Middle Village-Clinton Hill,1
Year1,Edgemere-Hell's Kitchen,1
Year3,Morris Heights-Astoria,2
Year2,Williamsbridge-Spuyten Duyvil,2
Year3,East New York-Jackson Heights,2
Year2,Unionport-Van Cortlandt Park,1
Year0,Jamaica Hills-Battery Park City,3
Year1,Jamaica Bay-Midwood,1
Year2,Marine Park-Flushing,3
Year1,Mount Hope-Murray Hill,3
Year3,Cambria Heights-Financial District,2
Year2,East Elmhurst-Randall Manor,1
Year3,Van Cortlandt Park-Pelham Bay,1
Year3,Flatbush-Neponsit,2
Year2,College Point-Chinatown,3
Year2,Castle Hill-Claremont Village,1
Year3,Brooklyn Heights-Rockaway Beach,3
Year2,Inwood-Glendale,2
Year1,St. George-Mariners Harbor,1
Year2,"Bay Terrace, Staten Island-SoHo",1
Year0,Flatbush-Riverdale,1
Year3,Flatbush-Morrisania,1
Year3,NoHo-Prince's Bay,2
Year3,Pelham Gardens-Highbridge,1
Year2,Port Morris-Sheepshead Bay,1
Year0,Laurelton-Financial District,2
Year3,Corona-Coney Island,1
Year0,Castleton Corners-John F. Kennedy International Airport,1
Year3,St. George-Randall Manor,2
Year1,Park Slope-Clason Point,2
Year0,Flatiron District-Freshkills Park,1
Year1,University Heights-Long Island City,2
Year0,Randall's Island-Belmont,3
Year3,Park Slope-Clason Point,2
Year1,South Ozone Park-University Heights,2
Year1,Throgs Neck-Williamsburg,2
Year1,Chinatown-Westerleigh,3
Year2,Maspeth-Manhattan Beach,1
Year3,Stapleton-Park Hill,1
Year2,Bensonhurst-Two Bridges,1
Year1,Fordham-Springfield Gardens,1
Year0,Whitestone-Little Neck,2
Year1,St. George-Great Kills,1
Year0,Fieldston-Van Nest,1
Year2,Allerton-Clason Point,2
Year0,South Ozone Park-Edgemere,1
Year2,Morrisania-Woodhaven,1
Year2,Ozone Park-West Brighton,1
Year0,Bath Beach-Woodside,1
Year2,Clason Point-Morris Park,1
Year0,East Flatbush-Mott Haven,1
Year1,Holliswood-Elmhurst,1
Year1,Claremont Village-Downtown Brooklyn,2
Year0,Red Hook-Great Kills,1
Year2,Red Hook-Tremont,1
Year0,Fresh Meadows-Ditmars Steinway,3
Year0,Latourette Park-Hell's Kitchen,1
Year2,South Ozone Park-Oakwood,1
Year1,City Island-Olinville,1
Year1,"Carroll Gardens-Bay Terrace, Staten Island",2
Year2,Rikers Island-Clason Point,1
Year3,Brighton Beach-Jackson Heights,1
Year1,Hollis-Kingsbridge,1
Year1,Castleton Corners-South Slope,1
Year0,Flatlands-Van Cortlandt Park,1
Year2,Rockaway Beach-Howard Beach,1
Year2,West Farms-North Riverdale,1
Year1,Hollis-Brownsville,1
Year2,Bronxdale-Financial District,1
Year3,Fort Hamilton-Oakwood,1
Year3,Kew Gardens-Randall's Island,1
Year2,Prospect Park-Rockaway Beach,1
Year3,Pelham Bay-Bushwick,1
Year0,Concourse-Flatlands,1
Year0,Jamaica-Van Nest,1
Year3,Elmhurst-Mill Basin,1
Year3,Tremont-Flushing,2
Year1,Douglaston-Murray Hill,1
Year1,Country Club-Astoria,1
Year2,Jamaica Estates-Cunningham Park,1
Year1,Mott Haven-Arden Heights,1
Year0,South Beach-Bath Beach,1
Year3,Laurelton-Bellerose,1
Year2,Rosedale-Edgemere,1
Year2,Red Hook-Graniteville,1
Year0,Bay Ridge-Grymes Hill,1
Year2,Hunts Point-Theater District,1
Year0,Concord-Gravesend,1
FY,trip_string,total_trips
Year1,Upper East Side-Midtown,4578727
Year1,West Village-Theater District,190612
Year1,Harlem-Central Park,18886
Year1,Flatiron District-Murray Hill,141498
Year1,Hell's Kitchen-Greenwich Village,125476
Year1,Civic Center-Stuyvesant Town,2334
Year1,Downtown Brooklyn-Greenpoint,4402
Year1,John F. Kennedy International Airport-College Point,2745
Year1,Nolita-Battery Park City,8520
Year1,Park Slope-Lower East Side,3945
Year1,Gramercy-Flushing,1375
Year0,East Harlem-Upper West Side,219477
Year0,Civic Center-Chinatown,8378
Year0,Gowanus-Park Slope,2949
Year2,Upper East Side-Chelsea,732578
Year2,Fort Greene-Windsor Terrace,576
Year0,Gowanus-Gowanus,9783
Year0,Nolita-Fort Greene,4217
Year0,Sunnyside-Murray Hill,5672
Year2,Upper East Side-Ditmars Steinway,30377
Year0,Kips Bay-Jackson Heights,3902
Year0,Theater District-LaGuardia Airport,169691
Year0,Kips Bay-LaGuardia Airport,38330
Year0,Astoria-Briarwood,496
Year0,Lower East Side-Forest Hills,3204
Year2,Midtown-Kensington,6032
Year0,East Elmhurst-Gramercy,1142
Year2,Hell's Kitchen-East New York,1048
Year0,Theater District-Flushing,4520
Year2,Flatiron District-Tompkinsville,4
Year2,John F. Kennedy International Airport-Murray Hill,72861
Year2,Hollis Hills-Downtown Brooklyn,2
Year0,Upper East Side-Throgs Neck,1526
Year3,Elmhurst-Elmhurst,11616
Year3,Gramercy-Long Island City,11550
Year1,Kips Bay-Boerum Hill,2910
Year0,West Village-Sunset Park,7221
Year0,Astoria-Harlem,4412
Year3,LaGuardia Airport-Midtown,699648
Year0,Upper East Side-Claremont Village,2472
Year3,Midtown-Prospect Heights,10398
Year3,LaGuardia Airport-Brooklyn Heights,18014
Year3,East Village-Arverne,30
Year1,Carroll Gardens-Battery Park City,2683
Year0,Rego Park-Washington Heights,193
Year1,LaGuardia Airport-Queens Village,2344
Year1,Chelsea-Fort Hamilton,4375
Year1,Bay Ridge-Greenpoint,25
Year1,Flatiron District-Ditmars Steinway,4133
Year1,Battery Park City-Cobble Hill,1280
Year2,Prospect-Lefferts Gardens-Chelsea,283
Year1,Gramercy-East New York,327
Year1,Greenpoint-Bay Ridge,315
Year0,Vinegar Hill-Greenpoint,118
Year0,Gowanus-Boerum Hill,1550
Year3,Astoria-Williamsburg,3459
Year3,Upper West Side-Borough Park,854
Year3,Greenwich Village-Woodside,2047
Year3,Bedford-Stuyvesant-Greenwich Village,515
Year3,LaGuardia Airport-Bellerose,1420
Year3,East Elmhurst-Midtown,7008
Year3,Chinatown-Kips Bay,12131
Year3,Boerum Hill-Flatbush,1283
Year3,Astoria-Harlem,2103
Year3,Chinatown-Brownsville,330
Year0,Stuyvesant Town-Melrose,52
Year3,East Village-Briarwood,481
Year3,Hell's Kitchen-Sheepshead Bay,1567
Year3,Theater District-Jamaica,1435
Year2,Murray Hill-Red Hook,588
Year2,Upper West Side-Maspeth,2297
Year2,SoHo-Brighton Beach,302
Year2,Murray Hill-Morningside Heights,7411
Year0,Financial District-Manhattan Beach,86
Year3,Crown Heights-Bushwick,1567
Year3,Chinatown-Carroll Gardens,1828
Year3,Fort Greene-Greenwich Village,1228
Year3,Gowanus-Bay Ridge,805
Year1,John F. Kennedy International Airport-Williamsbridge,846
Year2,Columbia St-Chelsea,499
Year2,Greenpoint-Fort Greene,1686
Year1,Navy Yard-Upper East Side,52
Year3,Battery Park City-Crown Heights,1524
Year3,West Village-Concourse Village,611
Year3,Cobble Hill-Crown Heights,1935
Year2,NoHo-Elmhurst,610
Year2,Downtown Brooklyn-Flatiron District,2491
Year2,SoHo-Hollis Hills,58
Year1,Forest Hills-Upper West Side,299
Year2,Bushwick-Forest Hills,112
Year3,East Harlem-Tremont,521
Year3,Chelsea-Breezy Point,64
Year2,Forest Hills-East Elmhurst,225
Year0,Nolita-Jamaica,57
Year3,Civic Center-Navy Yard,101
Year3,Bedford-Stuyvesant-Jackson Heights,166
Year3,Boerum Hill-East Harlem,249
Year2,Elmhurst-Rockaway Beach,8
Year0,Randall's Island-Ditmars Steinway,168
Year0,Upper West Side-Queens Village,184
Year0,Downtown Brooklyn-Ridgewood,287
Year2,Kips Bay-East Flatbush,1010
Year1,Glendale-Jamaica,18
Year0,Woodside-Jamaica,188
Year0,Kensington-Sheepshead Bay,188
Year3,Greenwich Village-Bull's Head,17
Year3,LaGuardia Airport-Highbridge,936
Year3,DUMBO-Richmond Hill,10
Year3,Morrisania-Morrisania,311
Year0,East Village-Kew Gardens Hills,574
Year0,Williamsburg-South Ozone Park,170
Year2,Inwood-Corona,14
Year0,John F. Kennedy International Airport-Mount Eden,709
Year0,Prospect Park-Prospect-Lefferts Gardens,325
Year3,Forest Hills-Jamaica Estates,328
Year2,Chinatown-Roosevelt Island,364
Year3,Bushwick-Downtown Brooklyn,295
Year0,SoHo-Spuyten Duyvil,252
Year1,NoHo-Sheepshead Bay,249
Year0,Gramercy-Randall's Island,425
Year3,Woodside-Washington Heights,234
Year1,Little Italy-Sunnyside,370
Year3,Theater District-Hunts Point,324
Year3,Midtown-Grant City,42
Year0,Claremont Village-Concourse Village,58
Year2,Cobble Hill-Harlem,146
Year2,Lower East Side-Belmont,192
Year0,South Ozone Park-Rego Park,27
Year1,NoHo-Bergen Beach,16
Year3,Fort Hamilton-Lower East Side,2
Year1,Ridgewood-Greenwich Village,15
Year2,East Elmhurst-Windsor Terrace,55
Year2,Mott Haven-Lower East Side,84
Year2,Kensington-Civic Center,111
Year3,Red Hook-Midtown,213
Year2,Battery Park City-Ditmars Steinway,479
Year1,John F. Kennedy International Airport-Oakwood,104
Year2,Tribeca-Kew Gardens Hills,219
Year0,East Village-Allerton,388
Year3,Flatiron District-Throgs Neck,168
Year1,Chelsea-Van Nest,316
Year1,Maspeth-Whitestone,19
Year1,Boerum Hill-Brownsville,220
Year2,Chinatown-Bay Terrace,17
Year3,South Slope-Fort Hamilton,161
Year1,Tribeca-Wakefield,73
Year3,Chinatown-Holliswood,72
Year0,Sunnyside-Holliswood,11
Year0,Harlem-Clinton Hill,434
Year2,Brownsville-East New York,325
Year0,Columbia St-Fort Hamilton,30
Year3,Jackson Heights-Chinatown,55
Year0,Windsor Terrace-Kips Bay,23
Year2,Woodside-Gramercy,655
Year2,SoHo-Briarwood,192
Year1,East Elmhurst-Floral Park,22
Year2,Jamaica Hills-Briarwood,206
Year2,Battery Park City-Norwood,41
Year1,Upper West Side-Bergen Beach,70
Year3,Forest Hills-Queens Village,31
Year0,Norwood-Richmond Hill,1
Year0,Elmhurst-Park Slope,93
Year2,DUMBO-Pelham Gardens,11
Year1,Fordham-Midtown,55
Year2,Ridgewood-Borough Park,4
Year1,Flatiron District-Jamaica,311
Year1,Civic Center-Jamaica Hills,27
Year1,Bushwick-Middle Village,93
Year2,Van Nest-Van Nest,100
Year3,Cobble Hill-Windsor Terrace,270
Year3,Brooklyn Heights-Forest Hills,76
Year3,Rosedale-Jamaica,33
Year3,Carroll Gardens-Maspeth,69
Year1,Cobble Hill-Jackson Heights,184
Year0,Ridgewood-Ditmars Steinway,28
Year0,Gowanus-Prospect-Lefferts Gardens,367
Year3,Jamaica-East Harlem,315
Year1,Bedford-Stuyvesant-Cambria Heights,11
Year3,Park Slope-Fort Hamilton,530
Year2,Inwood-Belmont,104
Year3,Chelsea-Randall Manor,58
Year3,Prospect Heights-Fort Hamilton,130
Year0,Greenwich Village-Coney Island,72
Year0,Kips Bay-Morrisania,160
Year0,Sheepshead Bay-Park Slope,21
Year2,Flatbush-Boerum Hill,152
Year0,Morris Heights-Astoria,11
Year0,Melrose-Midtown,136
Year1,Central Park-Kew Gardens Hills,85
Year1,Flushing Meadows Corona Park-Williamsburg,130
Year3,Middle Village-John F. Kennedy International Airport,55
Year2,Carroll Gardens-Norwood,1
Year2,Parkchester-Castle Hill,34
Year1,Flushing-Bellerose,22
Year2,Gramercy-Briarwood,276
Year1,Kensington-DUMBO,38
Year2,Mott Haven-Hunts Point,99
Year0,Bayside-College Point,10
Year3,South Ozone Park-South Slope,21
Year2,Greenpoint-Unionport,10
Year3,South Ozone Park-East Flatbush,47
Year0,Jamaica Hills-Far Rockaway,1
Year2,Murray Hill-Wakefield,116
Year2,Inwood-Fieldston,119
Year2,Mount Hope-Claremont Village,46
Year0,Forest Hills-Howard Beach,116
Year2,Gowanus-Port Richmond,3
Year1,Van Nest-University Heights,4
Year0,Prospect-Lefferts Gardens-Gravesend,19
Year0,Concourse-Fieldston,8
Year1,Borough Park-Midwood,167
Year0,Longwood-Elmhurst,4
Year0,Tribeca-Morris Park,76
Year2,Fort Hamilton-Fort Wadsworth,2
Year1,Park Slope-Queens Village,11
Year3,Stuyvesant Town-Schuylerville,8
Year2,Downtown Brooklyn-Mill Basin,42
Year1,Longwood-Concourse,85
Year2,Sunnyside-Longwood,80
Year0,Upper East Side-Oakwood,12
Year3,Bedford-Stuyvesant-Soundview,6
Year2,Midwood-Upper West Side,34
Year2,Whitestone-Eastchester,1
Year2,South Slope-Flushing Meadows Corona Park,5
Year1,Park Slope-Sea Gate,3
Year1,Nolita-Allerton,18
Year0,Flushing-Woodhaven,33
Year1,Bay Ridge-Bushwick,33
Year1,St. George-Castleton Corners,3
Year0,Longwood-Castle Hill,20
Year3,Flatiron District-Marble Hill,48
Year0,Forest Hills-Throgs Neck,4
Year1,Fort Greene-Floyd Bennett Field,20
Year1,Jamaica-Fort Greene,10
Year3,Bayswater-Bayswater,58
Year2,Flatiron District-West Brighton,17
Year0,Unionport-West Farms,11
Year2,Harlem-Crotona Park,40
Year3,Bedford-Stuyvesant-Bath Beach,18
Year1,Randall Manor-Upper West Side,2
Year1,Corona-Mott Haven,4
Year3,Briarwood-Chinatown,20
Year3,Kew Gardens-Financial District,15
Year1,Concourse-Kew Gardens,3
Year0,Pelham Bay-Flushing,1
Year3,Navy Yard-SoHo,33
Year0,Laurelton-Queens Village,1
Year1,Greenwich Village-Shore Acres,33
Year3,Bayside-Elmhurst,10
Year1,West Village-Graniteville,15
Year2,"Midtown-Chelsea, Staten Island",23
Year0,Claremont Village-East Harlem,19
Year2,Flatiron District-Hollis,39
Year0,Kew Gardens-Civic Center,20
Year3,Prospect-Lefferts Gardens-Roosevelt Island,1
Year2,Mill Basin-Mill Basin,37
Year2,Brownsville-Long Island City,7
Year2,East Elmhurst-Ferry Point Park,7
Year2,Elmhurst-NoHo,20
Year1,Van Nest-Midtown,11
Year0,Sheepshead Bay-South Ozone Park,5
Year3,SoHo-Mount Hope,47
Year3,Unionport-Morris Heights,8
Year3,Van Nest-West Farms,14
Year1,Morningside Heights-St. George,2
Year0,Jamaica-Holliswood,11
Year1,Spuyten Duyvil-Baychester,2
Year1,Concourse Village-Port Morris,17
Year0,Tremont-West Farms,19
Year0,Chinatown-Spuyten Duyvil,21
Year3,Little Italy-Cambria Heights,4
Year1,Harlem-Vinegar Hill,60
Year0,Brooklyn Heights-Concord,13
Year3,Rego Park-Two Bridges,5
